kode;nama
11.06.10.2056;Lampreh Lamteungoh
11.06.11;Kuta Baro
11.06.11.2001;Krueng Anoi
11.06.11.2002;Lam Puuk
11.06.11.2003;Cot Beut
11.06.11.2004;Bueng Bakjok
11.06.11.2005;Lam Neuheun
11.06.11.2006;Seupeu
11.06.11.2007;Cot Mancang
11.06.11.2008;Lam Baed
11.06.11.2009;Cot Masam
11.06.11.2016;Gue
11.06.11.2018;Lam Sabang
11.06.11.2019;Lam Alue Raya
11.06.11.2020;Lam Alue Cut
11.06.11.2021;Leupung Mesjid
11.06.11.2022;Cot Lamee
11.06.11.2023;Leupung Ule Alue
11.06.11.2024;Lampoh Tarom
11.06.11.2025;Lamteube Geupula
11.06.11.2026;Lamteube Mon Ara
11.06.11.2027;Aron
11.06.11.2028;Bak Buloh
11.06.11.2029;Lam Seunong
11.06.11.2030;Lam Raya
11.06.11.2031;Lam Roh
11.06.11.2032;Lambunot Tanoh
11.06.11.2033;Tumpok Lampoh
11.06.11.2034;Puuk
11.06.11.2035;Lambunot Paya
11.06.11.2036;Lampoh Keude
11.06.11.2037;Lam Asan
11.06.11.2038;Lambro Deyah
11.06.11.2039;Lambro Bileu
11.06.11.2040;Cot Peutano
11.06.11.2041;Cot Cut
11.06.11.2042;Meunasah Baktrieng
11.06.11.2043;Babah Jurong
11.06.11.2044;Lam Glumpang
11.06.11.2045;Rabeu
11.06.11.2046;Cucum
11.06.11.2047;Deyah
11.06.11.2048;Lam Trieng
11.06.11.2049;Beurangong
11.06.11.2050;Cot Preh
11.06.11.2051;Cot Raya
11.06.11.2052;Cot Yang
11.06.11.2053;Ujong Blang
11.06.11.2054;Lamceu
11.06.12;Darussalam
11.06.12.2001;Angan
11.06.12.2002;Lam Peudaya
11.06.12.2003;Lambada Peukan
11.06.12.2004;Lambiheu La
11.06.12.2005;Lambaro Sukon
11.06.12.2006;Miruek Taman
11.06.12.2007;Suleue
11.06.12.2008;Gampong Cot
11.06.12.2009;Gampong Blang
11.06.12.2010;Lampuja
11.06.12.2011;Tanjung Deah
11.06.12.2012;Limpok
11.06.12.2013;Lampuuk
11.06.12.2014;Lam Ujong
11.06.12.2015;Lam Gawe
11.06.12.2016;Berabung
11.06.12.2017;Lamtimpeung
11.06.12.2018;Tungkop
11.06.12.2019;Tanjong Seulamat
11.06.12.2020;Lamkeunung
11.06.12.2021;Lam Duroy
11.06.12.2022;Lam Klat
11.06.12.2023;Lambiheu Siem
11.06.12.2024;Lambitra
11.06.12.2025;Lie Eue
11.06.12.2026;Krueng Kalee
11.06.12.2027;Lam Asan
11.06.12.2028;Lam Reh
11.06.12.2029;Siem
11.06.13;Pulo Aceh
11.06.13.2001;Rinon
11.06.13.2002;Alue Raya
11.06.13.2003;Melingge
11.06.13.2004;Lapeng
11.06.13.2005;Ulee Paya
11.06.13.2006;Gugop
11.06.13.2007;Seurapong
11.06.13.2008;Blang Situngkoh
11.06.13.2009;Paloh
11.06.13.2010;Lampuyang
11.06.13.2011;Lhok
11.06.13.2012;Teunom
11.06.13.2013;Lamteng
11.06.13.2014;Pasi Janeng
11.06.13.2015;Rabo
11.06.13.2016;Alue Reuyeueng
11.06.13.2017;Deudap
11.06.14;Lembah Seulawah
11.06.14.2001;Lamtamot
11.06.14.2002;Lambaro Tunong
11.06.14.2003;Lonbaroh
11.06.14.2004;Lon Asan
11.06.14.2005;Paya Keureuleh
11.06.14.2006;Panca
11.06.14.2007;Lam Kubu
11.06.14.2008;Panca Kubu
11.06.14.2009;Suka Damai
11.06.14.2010;Suka Mulya
11.06.14.2011;Saree Aceh
11.06.14.2012;Teuladan
11.06.15;Kota Jantho
11.06.15.2001;Teureubeh
11.06.15.2002;Barueh
11.06.15.2003;Jantho
11.06.15.2004;Awek
11.06.15.2005;Data Cut
11.06.15.2006;Bueng
11.06.15.2007;Weu
11.06.15.2008;Jalin
11.06.15.2009;Suka Tani
11.06.15.2010;Cucum
11.06.15.2011;Jantho Baru
11.06.15.2012;Jantho Makmur
11.06.15.2013;Bukit Meusara
11.06.16;Kota Cot Glie
11.06.16.2001;Lampakuk
11.06.16.2002;Lampoh Raja
11.06.16.2003;Lam Aling
11.06.16.2004;Lamleupung
11.06.16.2005;Lamkleng
11.06.16.2006;Ie Alang Lamkreumeuh
11.06.16.2007;Ie Alang Lamghui
11.06.16.2008;Ie Alang Mesjid
11.06.16.2009;Ie Alang Dayah
11.06.16.2010;Lamtui
11.06.16.2011;Barih Lhok
11.06.16.2012;Bueng Simek
11.06.16.2013;Banda Safa
11.06.16.2014;Bithak
11.06.16.2015;Lambeugak
11.06.16.2016;Pakuk
11.06.16.2017;Lamsie
11.06.16.2018;Sigapang
11.06.16.2019;Tutui
11.06.16.2020;Pasar Lampaku
11.06.16.2021;Maheng
11.06.16.2022;Leupung Bruek
11.06.16.2023;Keumireu
11.06.16.2024;Lamleuot
11.06.16.2025;Leupung Balue
11.06.16.2026;Bak Sukon
11.06.16.2027;Cot Bayu
11.06.16.2028;Glee Jai
11.06.16.2029;Keuruweung Blang
11.06.16.2030;Keuruweung Krueng
11.06.16.2031;Siron Blang
11.06.16.2032;Siron Krueng
11.06.17;Kuta Malaka
11.06.17.2001;Lambaro Samahani
11.06.17.2002;Lam Ara Cut
11.06.17.2003;Lam Ara Engkit
11.06.17.2004;Lam Ara Tunong
11.06.17.2005;Leupung Riwat
11.06.17.2006;Tumbo Baro
11.06.17.2007;Leupung Cut
11.06.17.2008;Lamsiteh Cot
11.06.17.2009;Reuleung Karieng
11.06.17.2010;Leubok Buni
11.06.17.2011;Leubok Batee
11.06.17.2012;Bunghu
11.06.17.2013;Teu Dayah
11.06.17.2014;Leupung Rayeuk
11.06.17.2015;Reuleung Glumpang
11.06.18;Simpang Tiga
11.06.18.2001;Ateuk Lam Phang
11.06.18.2002;Ateuk Lampuot
11.06.18.2003;Ateuk Mon Panah
11.06.18.2004;Ateuk Lam Ura
11.06.18.2005;Ateuk Cut
11.06.18.2006;Ateuk Blang Asan
11.06.18.2007;Lamjamee Dayah
11.06.18.2008;Lam Batee
11.06.18.2009;Nya
11.06.18.2010;Batee Linteung
11.06.18.2011;Krueng Mak
11.06.18.2012;Lambunot
11.06.18.2013;Lamjamee Lamkrak
11.06.18.2014;Blang Miro
11.06.18.2015;Blang Preh
11.06.18.2016;Bha Ulee Tutu
11.06.18.2017;Lam Urit
11.06.18.2018;Tantuha
11.06.19;Darul Kamal
11.06.19.2001;Lhang
11.06.19.2002;Biluy
11.06.19.2003;Lambatee
11.06.19.2004;Lamkunyet
11.06.19.2005;Lamtadok
11.06.19.2006;Neusok
11.06.19.2007;Turam
11.06.19.2008;Tubaluy
11.06.19.2009;Blang Kiree
11.06.19.2010;Manee Dayah
11.06.19.2011;Lamsod
11.06.19.2012;Lambleut
11.06.19.2013;Empee Trieng
11.06.19.2014;Lambaro Biluy
11.06.20;Baitussalam
11.06.20.2001;Cadek
11.06.20.2002;Kajhu
11.06.20.2003;Baet
11.06.20.2004;Blang Krueng
11.06.20.2005;Klieng Muria
11.06.20.2006;Lam Bada Lhok
11.06.20.2007;Lampineung
11.06.20.2008;Lam Asan
11.06.20.2009;Labuy
11.06.20.2010;Lam Ujong
11.06.20.2011;Klieng Cot Aron
11.06.20.2012;Cot Paya
11.06.20.2013;Miruk Lam Reudep
11.06.21;Krueng Barona Jaya
11.06.21.2001;Meunasah Papeun
11.06.21.2002;Meunasah Baktrieng
11.06.21.2003;Leung Ie
11.06.21.2004;Lampermai
11.06.21.2005;Gle Deyah
11.06.21.2006;Miruk
11.06.21.2007;Lam Gapang
11.06.21.2008;Meunasah Manyang
11.06.21.2009;Meunasah Baet
11.06.21.2010;Meunasah Intan
11.06.21.2011;Rumpet
11.06.21.2012;Gla Meunasah Baro
11.06.22;Leupung
11.06.22.2001;Layeun
11.06.22.2002;Pulot
11.06.22.2003;Lamseunia
11.06.22.2004;Mns. Mesjid
11.06.22.2005;Meunasah Bak U
11.06.22.2006;Dayah Mamplam
11.06.23;Blang Bintang
11.06.23.2001;Cot Puklat
11.06.23.2002;Lamme
11.06.23.2003;Meulayo
11.06.23.2004;Lam Siem
11.06.23.2005;Cot Geundreut
11.06.23.2006;Paya Ue
11.06.23.2007;Cot Monraya
11.06.23.2008;Cot Meulangeun
11.06.23.2009;Cot Madhi
11.06.23.2010;Bueng Sidom
11.06.23.2011;Cot Karieng
11.06.23.2012;Gampong Blang
11.06.23.2013;Cot Malem
11.06.23.2014;Cot Rumpun
11.06.23.2015;Cot Hoho
11.06.23.2016;Cot Jambo
11.06.23.2017;Cot Nambak
11.06.23.2018;Bueng Pageu
11.06.23.2019;Cot Sayun
11.06.23.2020;Teupin Batee
11.06.23.2021;Cot Leuot
11.06.23.2022;Cot Bagie
11.06.23.2023;Kayee Kunyet
11.06.23.2024;Cot Mancang
11.06.23.2025;Empee Bata
11.06.23.2026;Data Makmur
11.07;KAB. PIDIE
11.07.03;Batee
11.07.03.2001;Dayah Tuha
11.07.03.2002;Dayah Baroh
11.07.03.2003;Bintang Hu
11.07.03.2004;Pulo Tukok
11.07.03.2005;Pulo Bungong
11.07.03.2006;Geunteng Barat
11.07.03.2007;Geunteng Timur
11.07.03.2008;Calong Cut
11.07.03.2009;Geulumpang Lhee
11.07.03.2010;Aron
11.07.03.2011;Tuha
11.07.03.2012;Dayah
11.07.03.2013;Mesjid
11.07.03.2014;Meucat
11.07.03.2015;Teupin Raya
11.07.03.2016;Rungkom
11.07.03.2017;Mee
11.07.03.2018;Pulo Pande
11.07.03.2019;Seulatan
11.07.03.2020;Alue Lada
11.07.03.2021;Teupin Jeue
11.07.03.2022;Neuheun
11.07.03.2023;Crueng
11.07.03.2024;Kareung
11.07.03.2025;Kulee
11.07.03.2026;Kulam
11.07.03.2027;Awee
11.07.03.2028;Pasi Beurandeh
11.07.04;Delima
11.07.04.2001;Tunong
11.07.04.2002;Raya
11.07.04.2003;Daboh
11.07.04.2004;Cut
11.07.04.2005;Mesjid Reubee
11.07.04.2006;Tanjong
11.07.04.2007;Geudong
11.07.04.2008;Reuntoh
11.07.04.2009;Reuba
11.07.04.2010;Krueng Reubee
11.07.04.2011;Neulop
11.07.04.2012;Glee
11.07.04.2013;Kumbang
11.07.04.2014;Buloh
11.07.04.2015;Bungo
11.07.04.2016;Dayah Reubee
11.07.04.2017;Jambee
11.07.04.2018;Dayah Baro
11.07.04.2019;Puuk
11.07.04.2020;Lhee Meunasah
11.07.04.2021;Ulee Tutue Raya
11.07.04.2022;Mesjid Aree
11.07.04.2023;Keutapang Aree
11.07.04.2024;Pante
11.07.04.2025;Pulo Tunong
11.07.04.2026;Pulo Baroh
11.07.04.2027;Krumbok
11.07.04.2028;Ceurih Blang Mee
11.07.04.2029;Ceurih Keupula
11.07.04.2030;Ceurih Alue
11.07.04.2031;Ceurih Cot
11.07.04.2032;Seupeung
11.07.04.2033;Sukon Lhong
11.07.04.2034;Dayah Beuah
11.07.04.2035;Krueng Cot
11.07.04.2036;Mesjid Beuah
11.07.04.2037;Lueng Dama
11.07.04.2038;Mesjid Bambong
11.07.04.2039;Reuseb
11.07.04.2040;Sagoe
11.07.04.2041;Seukeum
11.07.04.2042;Pengoe
11.07.04.2043;Keutapang Bambong
11.07.04.2044;Metareum
11.07.05;Geumpang
11.07.05.2001;Bangkeh
11.07.05.2002;Pucok
11.07.05.2004;Leupu
11.07.05.2005;Pulo Loih
11.07.05.2006;Keune
11.07.06;Geulumpang Tiga
11.07.06.2001;Simpang
11.07.06.2002;Krueng Jangko
11.07.06.2003;Krueng Nyong
11.07.06.2004;Cot Baroh
11.07.06.2005;Cot Tunong
11.07.06.2006;Bili
11.07.06.2007;Panjoe
11.07.06.2008;Amud Mesjid
11.07.06.2009;Reudeup Meulayu
11.07.06.2010;Dayah Tanoh
11.07.06.2011;Mamplam
11.07.06.2012;Balee
11.07.06.2013;Keupula
11.07.06.2014;Pulo Lueng Teuga
11.07.06.2015;Sukon Mesjid
11.07.06.2016;Sukon Baroh
11.07.06.2017;Krut Teumpeun
11.07.06.2018;Blang Drang
11.07.06.2019;Ude Gampong
11.07.06.2020;Kayee Jatou
11.07.06.2021;Kampong Jeumpa
11.07.06.2022;Pulo Lon / Pulo Dayah
11.07.06.2023;Jurong Pande
11.07.06.2024;Pulo Gajah Mate
11.07.06.2025;Tufah Jeulatang
11.07.06.2026;Kumbang Keupula
11.07.06.2027;Pulo Batee
11.07.06.2028;Meunjee
11.07.06.2029;Keutapang Mesjid
11.07.06.2030;Dayah Kp. Pisang
11.07.06.2031;Blang Tunong
11.07.06.2032;Blang Pueb
11.07.06.2033;Lambaro
11.07.06.2034;Neurok
11.07.07;Indra Jaya
11.07.07.2001;Tampieng Tunong
11.07.07.2002;Tampieng Baroh
11.07.07.2003;Dayah Caleue
11.07.07.2004;Jurong
11.07.07.2005;Keutapang
11.07.07.2006;Dayah Keurako
11.07.07.2007;Mesjid Lam Ujong
11.07.07.2008;Baro Jruek
11.07.07.2009;Yub Mee
11.07.07.2010;Raya
11.07.07.2011;Pulo Gampong U
11.07.07.2012;Pante Lhok Kaju
11.07.07.2014;Sukon Tungkop
11.07.07.2015;Rawa Tungkop
11.07.07.2016;Mesjid Tungkop
11.07.07.2017;Dayah Muara
11.07.07.2018;Pante Garot
11.07.07.2019;Garot Cut
11.07.07.2020;Keubang
11.07.07.2021;Blang Garot
11.07.07.2022;Meulayu
11.07.07.2023;Tungkop Cut
11.07.07.2024;Guci
11.07.07.2025;Teungoh Blang
11.07.07.2026;Mesjid Dijiem
11.07.07.2027;Sukon Ulee Gampong
11.07.07.2028;Lam Kabu
11.07.07.2029;Ulee Birah
11.07.07.2030;Mesjid Baro
11.07.07.2031;Lam Reuneng
11.07.07.2032;Cot Seuke
11.07.07.2033;Drien
11.07.07.2034;Rumia
11.07.07.2035;Wakheuh
11.07.07.2036;Baro Bluek
11.07.07.2037;Mesjid Ulee Gampong
11.07.07.2038;Dayah Bie
11.07.07.2039;Bale Baro Bluek
11.07.07.2040;Putoe Gapui
11.07.07.2041;Blang Rapai
11.07.07.2042;Neulop II
11.07.07.2043;Baro Gapui
11.07.07.2044;Bale Baroh Gapui
11.07.07.2045;Glee Gapui
11.07.07.2046;Teungoh Suwiek
11.07.07.2047;Mesjid Suwiek
11.07.07.2048;Tuha Suwiek
11.07.07.2049;Beureudep
11.07.07.2050;Blang Lhok Kaju
11.07.08;Kembang Tanjong
11.07.08.2001;Jurong Balee
11.07.08.2002;Aron Asan Kumbang
11.07.08.2003;Cebrek
11.07.08.2004;Jurong Mesjid
11.07.08.2005;Meunasah Gantung
11.07.08.2006;Babah Jurong
11.07.08.2007;Keupula
11.07.08.2008;Jareng
11.07.08.2009;Arusan
11.07.08.2010;Tanjong Krueng
11.07.08.2011;Lancang
11.07.08.2012;Pasi Lhok
11.07.08.2013;Jeumeurang
11.07.08.2014;Pusong
11.07.08.2015;Meuraksa
11.07.08.2016;Kayee Panyang
11.07.08.2017;Kampong Panjoe
11.07.08.2018;Kampong Asan
11.07.08.2019;Meunasah Mesjid
11.07.08.2020;Meunasah Mee
11.07.08.2021;Meunasah Teungoh
11.07.08.2022;Pasi ie Leubeue
11.07.08.2023;Keude ie Leubeue
11.07.08.2024;Sukon
11.07.08.2025;Ara
11.07.08.2026;Meunasah Krueng
11.07.08.2027;Krueng Dhoe
11.07.08.2028;Meunasah Baro
11.07.08.2029;Bentayan
11.07.08.2030;Kandang
11.07.08.2031;Lamkawe
11.07.08.2032;Puuk
11.07.08.2033;Tanjong
11.07.08.2034;Deyah Blang
11.07.08.2035;Deyah Mon Ara
11.07.08.2036;Keureumbok
11.07.08.2037;Manyang
11.07.08.2038;Matang Kuli
11.07.08.2039;Rheung Rheung
11.07.08.2040;Teumpeun
11.07.08.2041;Blang Cut
11.07.08.2042;Geulumpang
11.07.08.2043;Aron Kuta Baro
11.07.08.2044;Kampong Barat
11.07.08.2045;Kampong Araih
11.07.09;Kota Sigli
11.07.09.2001;Blang Paseh
11.07.09.2002;Benteng
11.07.09.2003;Blok Bengkel
11.07.09.2004;Pante Teungoh
11.07.09.2005;Kuala Pidie
11.07.09.2006;Keramat Luar
11.07.09.2007;Keramat Dalam
11.07.09.2008;Blok Sawah
11.07.09.2009;Blang Asan
11.07.09.2010;Lampoh Krueng
11.07.09.2011;Kampong Asan
11.07.09.2012;Meunasah Peukan
11.07.09.2013;Pasi Rawa
11.07.09.2014;Pasi Peukan Baro
11.07.09.2015;Tanjong Krueng
11.07.11;Mila
11.07.11.2001;Blang
11.07.11.2002;Teumeucet
11.07.11.2003;Blang Cut
11.07.11.2004;Kumbang
11.07.11.2005;Pulo Tanjong
11.07.11.2006;Ara Bungkok
11.07.11.2007;Lagang
11.07.11.2008;Mesjid Ilot
11.07.11.2009;Baroh Ilot
11.07.11.2010;Tunong Ilot
11.07.11.2011;Teungoh Ilot
11.07.11.2012;Dayah Andeue
11.07.11.2013;Dayah Sinthop
11.07.11.2014;Kulu
11.07.11.2015;Mesjid Andeue
11.07.11.2016;Meuyub Lala
11.07.11.2017;Tuha Lada
11.07.11.2018;Lhok Lubue
11.07.11.2019;Babah Jurong
11.07.11.2020;Krueng Lala
11.07.12;Muara Tiga
11.07.12.2001;Cot
11.07.12.2002;Tgk Di Laweung
11.07.12.2003;Mesjid
11.07.12.2004;Keupula
11.07.12.2005;Suka Jaya
11.07.12.2006;Pawod
11.07.12.2007;Dayah
11.07.12.2008;Krueng
11.07.12.2009;Gle Cut
11.07.12.2010;IE Masen
11.07.12.2011;Sagoe
11.07.12.2012;Ujong Pie
11.07.12.2013;Blang Raya
11.07.12.2014;Batee
11.07.12.2015;Ingin Jaya
11.07.12.2016;Papeun
11.07.12.2017;Tuha Biheue
11.07.12.2018;Simpang Beutong
11.07.13;Mutiara
11.07.13.2001;Mesjid Yaman
11.07.13.2002;Baro Yaman
11.07.13.2003;Mee Teungoh Yaman
11.07.13.2004;Sentosa
11.07.13.2005;Baroh Barat Yaman
11.07.13.2006;Tuha Gampong Gajah
11.07.13.2007;Jadan
11.07.13.2008;Balee Keumangan
11.07.13.2009;Blang Tidiek
11.07.13.2010;Blang Lilue
11.07.13.2011;Keumangan Cut
11.07.13.2012;Mesjid Keumangan
11.07.13.2013;Dayah Tidiek
11.07.13.2014;Lueng Sagoe
11.07.13.2015;Blang Beureueh
11.07.13.2016;Dayah Beureueh
11.07.13.2017;Pante Beureueh
11.07.13.2018;Rapana
11.07.13.2019;Paya Tiba
11.07.13.2020;Paloh Kambuek
11.07.13.2021;Lampoh Sirong
11.07.13.2022;Mee Panyang
11.07.13.2023;Reului
11.07.13.2024;Dayah Syarief
11.07.13.2025;Peureulak
11.07.13.2026;Ribeun
11.07.13.2027;Balee Busu
11.07.13.2028;Lingkok Busu
11.07.13.2029;Kumbang
11.07.14;Padang Tiji
11.07.14.2001;Mesjid Kunyet
11.07.14.2002;Piala Kunyet
11.07.14.2003;Hagu Kunyet
11.07.14.2004;Baro Kunyet
11.07.14.2005;Dayah Tanoh Kunyet
11.07.14.2006;Kambuk Nicah Kunyet
11.07.14.2007;Kambuk Payapi Kunyet
11.07.14.2008;Seunadeu Kunyet
11.07.14.2009;Blang Guci Kunyet
11.07.14.2010;Dayah Baroh Kunyet
11.07.14.2011;Blang Geuleudieng
11.07.14.2012;Geulumpang Geuleudieng
11.07.14.2013;Mesjid Geuleudieng
11.07.14.2014;Sukon Peudaya
11.07.14.2015;Mesjid Peudaya
11.07.14.2016;Cut Peudaya
11.07.14.2017;Buloh Peudaya
11.07.14.2018;Perlak Peudaya
11.07.14.2019;Dayah Baroh Peudaya
11.07.14.2020;Teungoh Peudaya
11.07.14.2021;Tuha Peudaya
11.07.14.2022;Tunong Peudaya
11.07.14.2023;Buni Reulieng Peudaya
11.07.14.2024;Trieng Paloh
11.07.14.2025;Leuhob Paloh
11.07.14.2026;Jurong Gampong Cot Paloh
11.07.14.2027;Suyo Paloh
11.07.14.2028;Kreet Paloh
11.07.14.2029;Capa Paloh
