kode;nama
11.01.05.2019;Labuhan Tarok
11.01.05.2020;Lhok Aman
11.01.05.2021;Alue Meutuah
11.01.05.2022;Ladang Baro
11.01.05.2023;Labuhan Tarok II
11.01.06;Samadua
11.01.06.2001;Dalam
11.01.06.2002;Subarang
11.01.06.2003;Kuta Baru
11.01.06.2004;Gunung Ketek
11.01.06.2005;Ladang Panton Luas
11.01.06.2006;Madat
11.01.06.2007;Alur Seumerah
11.01.06.2008;Tengah
11.01.06.2009;Gunung Cut
11.01.06.2010;Alur Pinang
11.01.06.2011;Kuta Blang
11.01.06.2012;Batee Tunggai
11.01.06.2013;Ujung Tanah
11.01.06.2014;Ujung Kampung
11.01.06.2015;Jilatang
11.01.06.2016;Luar
11.01.06.2017;Lubuk Layu
11.01.06.2018;Suaq Hulu
11.01.06.2019;Tampang
11.01.06.2020;Payonan Gadang
11.01.06.2021;Gadang
11.01.06.2022;Baru
11.01.06.2023;Ladang Kasik Putih
11.01.06.2024;Air Sialang Hilir.
11.01.06.2025;Air Sialang Hulu
11.01.06.2026;Air Sialang Tengah
11.01.06.2027;Balai
11.01.06.2028;Arafah
11.01.07;Sawang
11.01.07.2001;Sikulat
11.01.07.2002;Sawang I
11.01.07.2003;Meuligo
11.01.07.2004;Lhok Pawoh
11.01.07.2005;Sawang II
11.01.07.2006;Ujung Karang
11.01.07.2007;Trieng Meuduro Baroh
11.01.07.2008;Trieng Meuduro Tunong
11.01.07.2009;Panton Luas
11.01.07.2010;Simpang Tiga
11.01.07.2011;Kuta Baro
11.01.07.2012;Blang Geulinggang
11.01.07.2013;Mutiara
11.01.07.2014;Ujung Padang
11.01.07.2015;Sawang Ba'u
11.01.08;Tapaktuan
11.01.08.2001;Lhok Keutapang
11.01.08.2002;Hilir
11.01.08.2003;Padang
11.01.08.2004;Hulu
11.01.08.2005;Jambo Apha
11.01.08.2006;Tepi Air
11.01.08.2007;Pasar
11.01.08.2008;Lhok Bengkuang
11.01.08.2009;Panton Luas
11.01.08.2010;Gunung Kerambil
11.01.08.2011;Air Berudang
11.01.08.2012;Batu Itam
11.01.08.2013;Panjupian
11.01.08.2014;Lhok Rukam
11.01.08.2015;Air Pinang
11.01.08.2016;Lhok Bengkuang Timur
11.01.09;Trumon
11.01.09.2001;Keude Trumon
11.01.09.2002;Ujong Tanoh
11.01.09.2003;Sigleng
11.01.09.2004;Ie Meudama
11.01.09.2005;Tuepin Tinggi
11.01.09.2006;Kuta Baro
11.01.09.2007;Panton Bilie
11.01.09.2012;Kuta Padang
11.01.09.2013;Raket
11.01.09.2014;Gampong Teungoh
11.01.09.2015;Seuneubok Jaya
11.01.09.2016;Padang Harapan
11.01.10;Pasi Raja
11.01.10.2001;Ladang Teungoh
11.01.10.2002;Pucok Krueng
11.01.10.2003;Silolo
11.01.10.2004;Kampung Baru
11.01.10.2005;Panton Bili
11.01.10.2006;Paya Ateuk
11.01.10.2007;Ladang Tuha
11.01.10.2008;Mata Ie
11.01.10.2009;Ujong Batee
11.01.10.2010;Lhok Sialang Cut
11.01.10.2011;Seuneubok
11.01.10.2012;Ie Mirah
11.01.10.2013;Pasie Rasian
11.01.10.2014;Ujung Padang Rasian
11.01.10.2015;Krueng Kalee
11.01.10.2016;Lhok Sialang Rayeuk
11.01.10.2017;Gampong Baro
11.01.10.2018;Teupin Gajah
11.01.10.2019;Ujung Padang Asahan
11.01.10.2020;Pulo Ie II
11.01.10.2021;Pante Raja
11.01.11;Labuhan Haji Timur
11.01.11.2001;Tengah Peulumat
11.01.11.2002;Paya Peulumat
11.01.11.2003;Padang Peulumat
11.01.11.2004;Aur Peulumat
11.01.11.2005;Limau Saring
11.01.11.2006;Beutong
11.01.11.2007;Peuneulop
11.01.11.2008;Gunung Rotan
11.01.11.2009;Keumumu Hilir
11.01.11.2010;Keumumu Hulu
11.01.11.2011;Keumumu Seberang
11.01.11.2012;Sawang Indah
11.01.12;Labuhan Haji Barat
11.01.12.2001;Tutong
11.01.12.2002;Teungoh Iboh
11.01.12.2003;Peulokan
11.01.12.2004;Kuta Iboh
11.01.12.2005;Ujung Padang
11.01.12.2006;Blang Baru
11.01.12.2007;Blang Poroh
11.01.12.2008;Pulo Ie
11.01.12.2009;Suak Lokan
11.01.12.2010;Iku Lhueng
11.01.12.2011;Kuta Trieng
11.01.12.2012;Pante Geulima
11.01.12.2013;Panton Pawoh
11.01.12.2014;Batee Meucanang
11.01.12.2015;Panton Rubek
11.01.13;Kluet Tengah
11.01.13.2001;Koto
11.01.13.2002;Alur Keujrun
11.01.13.2003;Jambo Papan
11.01.13.2004;Malaka
11.01.13.2005;Koto Indarung
11.01.13.2006;Siurai-Urai
11.01.13.2007;Kampung Sawah
11.01.13.2008;Kampung Padang
11.01.13.2009;Pulo Air
11.01.13.2010;Lawe Melang
11.01.13.2011;Mersak
11.01.13.2012;Simpang Dua
11.01.13.2013;Simpang Tiga
11.01.14;Kluet Timur
11.01.14.2001;Paya Dapur
11.01.14.2002;Sapik
11.01.14.2003;Alai
11.01.14.2004;Durian Kawan
11.01.14.2005;Lawe Sawah
11.01.14.2006;Lawe Buluh Didi
11.01.14.2007;Pucuk Lembang
11.01.14.2008;Paya Laba
11.01.14.2009;Lawe Cimanok
11.01.15;Bakongan Timur
11.01.15.2001;Pasie Seubadeh
11.01.15.2002;Ladang Rimba
11.01.15.2003;Ujong Pulo Rayeuk
11.01.15.2004;Sawah Tingkeum
11.01.15.2005;Simpang
11.01.15.2006;Ujong Pulo Cut
11.01.15.2008;Seuleukat
11.01.16;Trumon Timur
11.01.16.2005;Pinto Rimba
11.01.16.2006;Krueng Luas
11.01.16.2007;Jambo Dalem
11.01.16.2008;Kapa Sesak
11.01.16.2009;Seuneubok Punto
11.01.16.2010;Seuneubok Pusaka
11.01.16.2011;Alur Bujok
11.01.16.2012;Titi Poben
11.01.17;Kota Bahagia
11.01.17.2001;Buket Gadeng
11.01.17.2002;Rambong
11.01.17.2003;Seuneubok Keuranji
11.01.17.2004;Seuneubok Alur Buloh
11.01.17.2005;Ujong Tanoh
11.01.17.2006;Ujong Gunong Cut
11.01.17.2007;Ujong Gunung Rayeuk
11.01.17.2008;Beutong
11.01.17.2009;Jambo Keupok
11.01.17.2010;Alurduamas
11.01.18;Trumon Tengah
11.01.18.2001;Ladang Rimba
11.01.18.2002;Gunong Kapho
11.01.18.2003;Kampong Teungoh
11.01.18.2004;Krueng Batee
11.01.18.2005;Pulo Paya
11.01.18.2006;Jambo Papeun
11.01.18.2007;Cot Bayu
11.01.18.2008;Naca
11.01.18.2009;Ie Jeureuneh
11.01.18.2010;Lhok Raya
11.02;KAB. ACEH TENGGARA
11.02.01;Lawe Alas
11.02.01.2001;Engkeran
11.02.01.2002;Rumah Kampung
11.02.01.2004;Pasir Bangun
11.02.01.2006;Kubu
11.02.01.2007;Lawe Kongker
11.02.01.2008;Kuta Cingkam II
11.02.01.2009;Muara Baru
11.02.01.2011;Kuta Batu I
11.02.01.2012;Kuta Cingkam I
11.02.01.2013;Kuta Batu II
11.02.01.2014;Lawe Sempilang
11.02.01.2015;Prapat Batu Nunggul
11.02.01.2016;Pulo Sepang
11.02.01.2017;Rih Mbelang
11.02.01.2018;Kute Batu Baru
11.02.01.2019;Darul Amin
11.02.01.2020;Lawe Lubang Indah
11.02.01.2021;Batu Hamparan
11.02.01.2022;Paye Munje
11.02.01.2023;Pulo Ndapdap
11.02.01.2024;Pasir Nunggul
11.02.01.2025;Cingkham Mekhanggun
11.02.01.2026;Pintu Khimbe
11.02.01.2027;Lawe Kongker Hilir
11.02.01.2028;Pulo Gadung
11.02.01.2029;Pasikh Pehkmate
11.02.01.2030;Pasikh Nunang
11.02.01.2031;Deleng Kukusen
11.02.02;Lawe Sigala-Gala
11.02.02.2001;Bukit Merdeka
11.02.02.2002;Darul Aman
11.02.02.2003;Lawe Kesumpat
11.02.02.2004;Lawe Tua Gabungan
11.02.02.2005;Lawe Sigala II
11.02.02.2006;Lawe Sigala Timur
11.02.02.2007;Lawe Sigala Barat
11.02.02.2008;Suka Damai
11.02.02.2009;Kute Tengah
11.02.02.2010;Tanah Baru
11.02.02.2011;Kedataran Gabungan
11.02.02.2012;Gabungan Parsaroan
11.02.02.2013;Lawe Loning Gabungan
11.02.02.2014;Lawe Loning Aman
11.02.02.2015;Suka Maju
11.02.02.2016;Lawe Tua Makmur
11.02.02.2017;Lawe Tua Persatuan
11.02.02.2018;Lawe Serke
11.02.02.2019;Lawe Rakat
11.02.02.2020;Suka Jaya
11.02.02.2021;Enmiya Batu Dua Ratus
11.02.02.2022;Sebungke
11.02.02.2023;Bukit Sepakat
11.02.02.2024;Lawe Loning Sepakat
11.02.02.2025;Lawe Loning I
11.02.02.2026;Gaya Jaya
11.02.02.2027;Gelah Musara
11.02.02.2028;Mulie Dame
11.02.02.2029;Lawe Loning Hakhapen
11.02.02.2030;Karya Indah
11.02.02.2031;Kayu Mbelin
11.02.02.2032;Lawe Sigala Barat Jaya
11.02.02.2033;Lawe Pekhidinen
11.02.02.2034;Kertimbang
11.02.02.2035;Ndauh Nitenggo
11.02.03;Bambel
11.02.03.2001;Bambel Gabungan
11.02.03.2002;Kisam
11.02.03.2005;Lawe Hijo
11.02.03.2006;Pinding
11.02.03.2009;Terutung Megara Asli
11.02.03.2011;Biak Muli
11.02.03.2012;Kute Lang-Lang
11.02.03.2013;Pedesi
11.02.03.2014;Terutung Payung Hulu
11.02.03.2015;Terutung Payung Hilir
11.02.03.2016;Tualang Sembilar
11.02.03.2017;Kuning I
11.02.03.2018;Kuning II
11.02.03.2019;Cinta Damai
11.02.03.2020;Likat
11.02.03.2021;Rikit
11.02.03.2023;Bambel
11.02.03.2025;Lawe Kihing
11.02.03.2026;Terutung Seperai
11.02.03.2027;Kute Seri
11.02.03.2028;Kuta Antara
11.02.03.2029;Pulo Perengge
11.02.03.2031;Pulo Kendondong
11.02.03.2033;Pancakh Iman
11.02.03.2034;Biak Muli Baru
11.02.03.2035;Biak Muli Pantai Raja
11.02.03.2036;Biak Muli Sejahtera
11.02.03.2037;Lembah Haji
11.02.03.2038;Terutung PayungGabungan
11.02.03.2039;Lawe Hijo Metuah
11.02.03.2040;Ampera
11.02.03.2041;Tembilakh Mbakhu
11.02.03.2042;Kute Lang-Lang Bakhu
11.02.04;Babussalam
11.02.04.2001;Kota Kutacane
11.02.04.2002;Perapat Hilir
11.02.04.2003;Perapat Hulu
11.02.04.2004;Muara Lawe Bulan
11.02.04.2005;Mbarung
11.02.04.2006;Batu Mbulan Asli
11.02.04.2007;Batu Mbulan I
11.02.04.2008;Batu Mbulan II
11.02.04.2009;Kampung Raja
11.02.04.2010;Pulonas
11.02.04.2011;Kampung Melayu Gabungan
11.02.04.2012;Terutung Pedi
11.02.04.2013;Kute Rih
11.02.04.2014;Gumpang Jaya
11.02.04.2015;Pulo Latong
11.02.04.2016;Kutacane Lama
11.02.04.2017;Batu Mbulan Mbaru
11.02.04.2018;Pulo Peding
11.02.04.2019;Mendabe
11.02.04.2020;Ujung Barat
11.02.04.2021;Pekhapat Titi Panjang
11.02.04.2022;Pekhapat Sepakat
11.02.04.2023;Alas Marantcar
11.02.04.2024;Batu Mbulan Sepakat
11.02.04.2025;Pulo Sanggakh
11.02.04.2026;Melayu I
11.02.04.2027;Mbarung Datuk Saudane
11.02.05;Badar
11.02.05.2005;Salang Alas
11.02.05.2009;Kuta Pasir
11.02.05.2011;Purwodadi
11.02.05.2012;Kuta Tinggi
11.02.05.2013;Kampung Baru
11.02.05.2014;Peranginan
11.02.05.2015;Natam
11.02.05.2025;Kumbang Jaya
11.02.05.2026;Kumbang Indah
11.02.05.2027;Natam Baru
11.02.05.2029;Deleng Megakhe
11.02.05.2030;Lawe Bekung
11.02.05.2031;Lawe Bekung Tampahan
11.02.05.2032;Badar Indah
11.02.05.2033;Batu Mbekhong
11.02.05.2034;Tanah Merah
11.02.05.2035;Tanoh Megakhe
11.02.05.2036;Lawe Sekerah
11.02.06;Babul Makmur
11.02.06.2001;Pardomuan II
11.02.06.2002;Lawe Desky I
11.02.06.2003;Lawe Desky Sabas
11.02.06.2004;Pardomuan I
11.02.06.2005;Cinta Damai
11.02.06.2006;Pardamean
11.02.06.2007;Lawe Desky Tongah
11.02.06.2008;Kute Bakti
11.02.06.2010;Muara Situlen
11.02.06.2011;Sejahtera
11.02.06.2012;Kute Makmur
11.02.06.2013;Pardamean
11.02.06.2014;Lawe Mantik
11.02.06.2015;Cinta Makmur
11.02.06.2016;Muara Setia
11.02.06.2017;Tanoh Alas
11.02.06.2018;Sejahtera Baru
11.02.06.2024;Lawe Tawakh
11.02.06.2025;Sabilussalam
11.02.06.2026;Lawe Desky Jaya
11.02.06.2027;Pintu Alas
11.02.07;Darul Hasanah
11.02.07.2001;Gulo
11.02.07.2002;Pulo Piku
11.02.07.2003;Terutung Kute
11.02.07.2004;Kute Ujung
11.02.07.2005;Lawe Stul
11.02.07.2006;Kite Merangun
11.02.07.2007;Mamas
11.02.07.2008;Tanjung Lama
11.02.07.2009;Tanjung Muda
11.02.07.2010;Rambung Teldak
11.02.07.2011;Tanjung Aman
11.02.07.2012;Sri Muda
11.02.07.2013;Ujung Baru
11.02.07.2014;Kute Rambe
11.02.07.2015;Mamas Baru
11.02.07.2016;Rambung Jaya
11.02.07.2017;Makmur Jaya
11.02.07.2018;Darul Makmur
11.02.07.2019;Tanjung Bakhu
11.02.07.2020;Pulo Gabung
11.02.07.2021;Kokhtan Jaya
11.02.07.2022;Istiqamah
11.02.07.2023;Lawe Mamas Indah
11.02.07.2024;Tanjung Leuser
11.02.07.2025;Simpang IV Tanjung
11.02.07.2026;Lawe Pinis
11.02.07.2027;Buntul Kendawi
11.02.07.2028;Kuning Abadi
11.02.08;Lawe Bulan
11.02.08.2001;Pasir Gala
11.02.08.2002;Pasir Penjengakan
11.02.08.2003;Kutambaru
11.02.08.2004;Lawe Sagu Hulu
11.02.08.2005;Lawe Sagu Hilir
11.02.08.2006;Kute Bantil
11.02.08.2011;Lawe Kolok
11.02.08.2012;Lawe Rutung
11.02.08.2013;Kampung Nangka
11.02.08.2014;Tenembak Juhar
11.02.08.2015;Simpang Empat
11.02.08.2016;Kuta Buluh Botong
11.02.08.2017;Katambaru Becawan
11.02.08.2018;Lawe Kinge
11.02.08.2019;Kandang Mbelang Mandiri
11.02.08.2020;Mbacang Racun
11.02.08.2021;Telaga Mekar
11.02.08.2023;Pulonas Baru
11.02.08.2025;Kuta Genting
11.02.08.2026;Lawe Sagu Baru
11.02.08.2027;Lawe Sagu
11.02.08.2028;Pekhapet Timur
11.02.08.2029;Bahagia
11.02.08.2030;Kute Galuh Asli
11.02.09;Bukit Tusam
11.02.09.2001;Kute Lengat Pangan
11.02.09.2002;Kute Lengat Selian
11.02.09.2003;Tualang Baru
11.02.09.2004;Alur Buluh
11.02.09.2005;Maha Singkil
11.02.09.2006;Tenembak Bintang
11.02.09.2007;Kute Lingga
11.02.09.2008;Rikit Bur
11.02.09.2010;Kerukunan
11.02.09.2011;Lawe Dua
11.02.09.2012;Rema
11.02.09.2013;Bambel Baru
11.02.09.2014;Pejuang
11.02.09.2015;Darussalam
11.02.09.2016;Amaliah
11.02.09.2017;Sebudi Jaya
11.02.09.2018;Gumpang
11.02.09.2019;Kute Gekhat
11.02.09.2020;Paye Khambung
11.02.09.2021;Mbak Sako
11.02.09.2022;Darul Imami
11.02.09.2023;Rikit Bur II
11.02.09.2024;Kute Empat Lima
11.02.10;Semadam
11.02.10.2001;Simpang Semadam
11.02.10.2002;Semadam Awal
11.02.10.2003;Semadam Asal
11.02.10.2004;Lawe Kinga Gabungan
11.02.10.2005;Lawe Kinga Tebing Tinggi
11.02.10.2006;Kebun Sere
11.02.10.2007;Lawe Beringin Horas
11.02.10.2008;Lawe. Berigin Gayo
11.02.10.2009;Suka Makmur
11.02.10.2010;Pasar Puntung
11.02.10.2011;Titi Pasir
11.02.10.2012;Lawe Petanduk I
11.02.10.2013;Ngkeran Alur Buluh
11.02.10.2014;Kampung Baru
11.02.10.2015;Sepakat Segenap
11.02.10.2016;Selamat Indah
11.02.10.2017;Lawe Kinge Lapter
11.02.10.2018;Lawe Mejile
11.02.10.2019;Lawe Petanduk-II
11.02.11;Babul Rahmah
11.02.11.2004;Titi Mas
11.02.11.2005;Meranti
11.02.11.2006;Kute Lang-Lang
11.02.11.2007;Lawe Sumur
11.02.11.2008;Pardamaian
11.02.11.2009;Salim Pipit
11.02.11.2010;Penguhapan
11.02.11.2011;Lumban Tua
11.02.11.2012;Mutiara Damai
11.02.11.2013;Dolok Nauli
11.02.11.2014;Tuhi Jongkat
11.02.11.2015;Uning Sigugur
11.02.11.2016;Lumban Sitio-tio
11.02.11.2017;Lawe Malum
11.02.11.2018;Alur Baning
11.02.11.2019;Lingga Alas
11.02.11.2020;Khambung Tumbung
11.02.11.2021;Tuah Mesade
11.02.11.2022;Sumukh Alas
11.02.11.2023;Alukh Bakhu
11.02.11.2024;Sepekhinding
11.02.11.2025;Tanoh Subukh
11.02.11.2026;Pinggan Mbelang
11.02.11.2027;Sigai Indah
11.02.11.2028;Ukekh Deleng
11.02.11.2029;Alas Mesikhat
11.02.11.2030;Titi Hakhapen
11.02.12;Ketambe
11.02.12.2001;Aunan Sepakat
11.02.12.2002;Lawe Penanggalan
11.02.12.2003;Lawe Mengkudu
11.02.12.2004;Jambur Lak-lak
11.02.12.2005;Simpang Tiga Jongar
11.02.12.2006;Jongar Asli
11.02.12.2007;Ketambe
11.02.12.2008;Rumah Bundar
11.02.12.2009;Penyeberangan Cingkam
11.02.12.2010;Deleng Damar
11.02.12.2011;Bintang Bener
11.02.12.2012;Suka Rimbun
11.02.12.2013;Lawe Aunan
11.02.12.2014;Bener Bepapah
11.02.12.2015;Penungkunen
11.02.12.2016;Datok Pining
11.02.12.2017;Kati Maju
11.02.12.2018;Leuser
11.02.12.2019;Jati Sara
11.02.12.2020;Bukit Mbakhu
11.02.12.2021;Kayu Metangur
11.02.12.2022;Lawe Sembekan
11.02.12.2023;Lawe Beringin
11.02.12.2024;Lawe Ger-Ger
11.02.12.2025;Simpur Jaya
11.02.13;Deleng Pokhkisen
11.02.13.2001;Salang Baru
11.02.13.2002;Ranto Dior
11.02.13.2003;Lembah Alas
11.02.13.2004;Tenembak Lang-Lang
11.02.13.2005;Salang Sigotom
11.02.13.2006;Tualang Lama
11.02.13.2007;Gusung Batu
11.02.13.2008;Kaya Pangur
11.02.13.2009;Sepakat
11.02.13.2010;Lawe Pangkat
11.02.13.2011;Bunga Melur
11.02.13.2012;Penampaan
11.02.13.2013;Terutung Mbelang
11.02.13.2014;Salang Muara
11.02.13.2015;Lawe Hakhum
11.02.13.2016;Tanoh Khukahen
11.02.13.2017;Tading Ni Ulihi
11.02.13.2018;Peseluk Pesimbe
11.02.13.2019;Kane Lot
11.02.13.2020;Muhajirin
11.02.13.2021;Beriring Naru
11.02.13.2022;Kati Jeroh
11.02.14;Lawe Sumur
11.02.14.2001;Terutung Megara Lawe Pasaran
11.02.14.2002;Kisam Gabungan
11.02.14.2003;Kisam Kute Pasir
11.02.14.2004;Lawe Sumur
11.02.14.2005;Lawe Sumur Baru
11.02.14.2006;Kute Lesung
11.02.14.2007;Berandang
11.02.14.2008;Kute Bunin
11.02.14.2009;Buah Pala
11.02.14.2010;Panosan
11.02.14.2011;Lawe Pasaran Tengku Mbelin
11.02.14.2012;Terutung Megahke MBakhu
11.02.14.2013;Kisam Lestari
11.02.14.2014;Kisam Kute Rambe
11.02.14.2015;Lawe Polak
11.02.14.2016;Lawes Sumur Sepakat
11.02.14.2017;Setia Baru
11.02.14.2018;Teger Miko
11.02.15;Tanoh Alas
11.02.15.2001;Salim Pinim I
11.02.15.2002;Jambur Damar
11.02.15.2003;Alur Langsat
11.02.15.2004;Rambah Sayang
11.02.15.2006;Rumah Luar
11.02.15.2007;Tenembak Alas
11.02.15.2008;Lawe Tungkal
11.02.15.2009;Salim Pinim II
11.02.15.2010;Jambukh Pekhmate
11.02.15.2011;Khutung Mbelang
11.02.15.2012;Timang Rasa
11.02.15.2013;Stambul Jaya
11.02.15.2014;Alur Nangke
11.02.15.2015;Kute Mejile
11.02.16;Leuser
11.02.16.2001;Bintang Alga Musara
11.02.16.2002;Bintang Bukit Indah
11.02.16.2003;Tanjung Sari
11.02.16.2004;Bun-bun Alas
11.02.16.2005;Naga Timbul
11.02.16.2006;Gunung Pak-Pak
11.02.16.2007;Bukit Meriah
11.02.16.2008;Permata Musara
11.02.16.2009;Laut Tawar
11.02.16.2010;Kane Mende
11.02.16.2011;Lawe Sekhakut
11.02.16.2012;Bunbun Indah
11.02.16.2013;Suka Damai
11.02.16.2014;Tuah Kekhine
11.02.16.2015;Punce Nali
11.02.16.2016;Sade Ate
11.02.16.2017;Akhih Majile
11.02.16.2018;Ukhat Peseluk
11.02.16.2019;Tunas Mude
11.02.16.2020;Gaye Sendah
11.02.16.2021;Kute Hakhapen
11.02.16.2022;Kompas
11.02.16.2023;Sepakat
11.03;KAB. ACEH TIMUR
11.03.01;Darul Aman
11.03.01.2001;Alue Luddin Sa
11.03.01.2002;Alue Luddin Dua
11.03.01.2003;Alue Dalam
11.03.01.2004;Dama Pulo Sa
11.03.01.2005;Dama Pulo Dua
11.03.01.2006;Buket Kulam
11.03.01.2007;Seuneubok Teungoh
11.03.01.2008;Jungka Gajah
11.03.01.2009;Seuneubok Simpang
11.03.01.2010;Matang Pineung
11.03.01.2011;Lhok Geulumpang
11.03.01.2012;Blang Buket
11.03.01.2013;Meunasah Keutapang
11.03.01.2014;Buket Rumia
11.03.01.2015;Alue Gadeng
11.03.01.2016;Kapai Baro
11.03.01.2017;Seuneubok Tuha Sa
11.03.01.2018;Seuneubok Tuha Dua
11.03.01.2019;Seuneubok Buloh
11.03.01.2020;Gaseh Sayang
11.03.01.2021;Alue Lhok
11.03.01.2022;Trieng Gadeng
11.03.01.2023;Grong-Grong
11.03.01.2024;Matang Geuto
11.03.01.2025;Alue Merbo
11.03.01.2026;Buket Raya
11.03.01.2027;Gampong Keude
11.03.01.2028;Peukan Idi Cut
11.03.01.2029;Gampong Beunot
11.03.01.2030;Seuneubok Baroh
11.03.01.2031;Teupin Drum
11.03.01.2032;Kuala Idi Cut
11.03.01.2034;Seuneubok Aceh
11.03.01.2035;Gampong Baro
11.03.01.2036;Bagok Panah Sa
11.03.01.2037;Bagok Panah Dua
11.03.01.2038;Bagok Panah Lhee
11.03.01.2039;Bagok Panah Peut
11.03.01.2040;Buket Tualang
11.03.01.2041;Keumuneng Sa
11.03.01.2042;Keumuneng Dua
11.03.01.2043;Keumuneng Lhee
11.03.01.2044;Keumuneng Peut
11.03.01.2045;Keumuneng Limong
11.03.01.2046;Meunasah Blang
11.03.02;Julok
11.03.02.2001;Blang Keumahang
11.03.02.2002;Blang Jambee
11.03.02.2003;Keumuneng
11.03.02.2004;Ladang Baro
11.03.02.2005;Buket Panyang
11.03.02.2006;Seuneubok Rambong
11.03.02.2007;Seuneubok Baro
11.03.02.2008;Blang Mideun
11.03.02.2009;Paya Bakong
11.03.02.2010;Teupin Raya
11.03.02.2011;Lhok Rambong
11.03.02.2012;Julok Tunong
11.03.02.2013;Ulee Ateung
11.03.02.2014;Ulee Blang
11.03.02.2015;Labuhan
11.03.02.2016;Naleung
11.03.02.2017;Mane Rampak
11.03.02.2018;Matang
11.03.02.2019;Blang Uyok
11.03.02.2020;Blang Pauh Sa
11.03.02.2021;Blang Pauh Dua
11.03.02.2022;Ulee Tanoh
11.03.02.2023;Keude Kuta Binjei
11.03.02.2024;Bukit Seroja
11.03.02.2025;Kuala Geulumpang
11.03.02.2026;Gampong Baro
11.03.02.2027;Tumpok Teungoh
11.03.02.2028;Seumatang
11.03.02.2029;Ujong Tunong
11.03.02.2030;Bukit Dindeng
11.03.02.2031;Paya Pasi
11.03.02.2032;Alue Cek Doi
11.03.02.2033;Blang Gleum
11.03.02.2034;Tanjong Tok Blang
11.03.02.2035;Buket Makmu
11.03.02.2036;Lhok Seuntang
11.03.02.2037;Simpang Lhee
11.03.03;Idi Rayeuk
11.03.03.2001;Gampong Jawa
11.03.03.2002;Keude Blang
11.03.03.2003;Tanoh Anoe
11.03.03.2004;Kuala Peudawa Puntong
11.03.03.2005;Gampong Aceh
11.03.03.2006;Kuta Blang
11.03.03.2007;Gampong Tanjong
11.03.03.2008;Blang Geulumpang
11.03.03.2009;Meunasah Pu'uk
11.03.03.2010;Bantayan Timu
11.03.03.2011;Keutapang Mameh
11.03.03.2012;Seuneubok Rambong
11.03.03.2013;Kuala Idi
11.03.03.2014;Keude Aceh
11.03.03.2023;Seuneubok Bacee
11.03.03.2029;Titi Baro
11.03.03.2047;Tanjong Kapai
11.03.03.2048;Alue Dua Muka O
11.03.03.2049;Alue Dua Muka S
11.03.03.2050;Ulee Blang
